N/A,N/A
"Submit Quote","Submit Quote"
"Are you sure you want to cancel this quote?","Are you sure you want to cancel this quote?"
Cancel,Cancel
"Order Comment","Order Comment"
"Please select a customer","Please select a customer"
"Account Information","Account Information"
"Edit Quote #%1","Edit Quote #%1"
"Create New Quote for %1 in %2","Create New Quote for %1 in %2"
"Create New Quote in %1","Create New Quote in %1"
"Create New Quote for %1","Create New Quote for %1"
"Create New Quote for New Customer","Create New Quote for New Customer"
"Items Quoted","Items Quoted"
"This product is disabled.","This product is disabled."
"Buy %1 for price %2","Buy %1 for price %2"
"Item ordered qty","Item ordered qty"
"%1 with %2 discount each","%1 with %2 discount each"
"%1 for %2","%1 for %2"
"* - Enter custom price including tax","* - Enter custom price including tax"
"* - Enter custom price excluding tax","* - Enter custom price excluding tax"
Configure,Configure
"This product does not have any configurable options","This product does not have any configurable options"
"Newsletter Subscription","Newsletter Subscription"
"Please select products","Please select products"
"Add Selected Product(s) to Quote","Add Selected Product(s) to Quote"
ID,ID
Product,Product
SKU,SKU
Price,Price
Select,Select
Quantity,Quantity
"Please select a store","Please select a store"
"Quote Totals","Quote Totals"
"Shipping Incl. Tax (%1)","Shipping Incl. Tax (%1)"
"Shipping Excl. Tax (%1)","Shipping Excl. Tax (%1)"
"Save Quote","Save Quote"
"Quote Comment","Quote Comment"
"Please correct the parent block for this block.","Please correct the parent block for this block."
" [deleted]"," [deleted]"
"Quote Items","Quote Items"
"Item qty","Item qty"
"Enter custom price including tax","Enter custom price including tax"
"Enter custom price excluding tax","Enter custom price excluding tax"
Information,Information
"Quote Information","Quote Information"
"Quote Edit","Quote Edit"
Subtotal,Subtotal
"Grand Total","Grand Total"
"Cancel / Close","Cancel / Close"
Approve,Approve
"Convert To Order","Convert To Order"
Edit,Edit
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"Invalid parent block for this block","Invalid parent block for this block"
"Quote View","Quote View"
"Please update Amasty Base module. Re-upload it and replace all the files.","Please update Amasty Base module. Re-upload it and replace all the files."
"Add to Quote","Add to Quote"
"Request Quote closed","Request Quote closed"
"Can't close Request Quote","Can't close Request Quote"
"My Quotes","My Quotes"
"Quote # %1","Quote # %1"
Sales,Sales
Quotes,Quotes
"This quote no longer exists.","This quote no longer exists."
"Your session has been expired. Please try again","Your session has been expired. Please try again"
"You have not approved the quote.","You have not approved the quote."
"You approved the quote.","You approved the quote."
"You have not close the quote.","You have not close the quote."
"You closed the quote.","You closed the quote."
"You have not closed the quote.","You have not closed the quote."
"The quote item ID needs to be received. Set the ID and try again.","The quote item ID needs to be received. Set the ID and try again."
"The quote item needs to be loaded. Load the item and try again.","The quote item needs to be loaded. Load the item and try again."
"Something went wrong","Something went wrong"
"Requested quote does not exist","Requested quote does not exist"
"Order does not exist","Order does not exist"
"New Quote","New Quote"
"You created the quote.","You created the quote."
"Quote saving error: %1","Quote saving error: %1"
"Edit Quote","Edit Quote"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"You updated the quote.","You updated the quote."
"%1 quote(s) cannot be updated.","%1 quote(s) cannot be updated."
"You cannot update the quote(s).","You cannot update the quote(s)."
"We updated %1 quote(s).","We updated %1 quote(s)."
"%1 quote(s) cannot be canceled.","%1 quote(s) cannot be canceled."
"You cannot cancel the quote(s).","You cannot cancel the quote(s)."
"We canceled %1 quote(s).","We canceled %1 quote(s)."
"You can not create the order.","You can not create the order."
